city,x,y,capacity_tb
Warsaw,100,65,0
Skierniewice,92,62,197
Łódź,85,58,317
Konin,68,64,236
Sieradz,72,55,178
Piotrków,89,51,139
Radom,102,50,288
Kielce,98,42,0
Czestochowa,79,40,278
Bytom,76,31,163
Gliwice,73,30,105
Sosnowiec,80,29,143
Kraków,89,25,331
Bielsko,79,20,276
Katowice,78,28,263
Jastrzębie-Zdrój,74,23,137
Wodzisław Śląski,71,23,119
Poznań,54,68,251
Zielona Góra,39,60,121
Leszno,51,58,84
Kalisz,65,58,207
Legnica,45,47,176
Wrocław,54,45,133
Jelenia Góra,40,42,167
Wałbrzych,46,39,129
Opole,67,37,0